day,CO_mean,NO2_mean,O3_mean,PM10_mean,SO2_mean,TOUT_mean,TOUT_max,TOUT_min,TOUT_range
2023-01-01,1.2625,18.63333333,29.08333333,66.41666667,6.141666667,22.2725,30.58,14.53,16.05
2023-01-02,1.48875,29.49166667,16.08333333,79.45833333,5.345833333,22.08333333,28.9,15.58,13.32
2023-01-03,1.203333333,28.1375,18.79166667,91.25,7.595833333,21.67875,27.35,18.03,9.32
2023-01-04,1.228333333,28.72916667,25.29166667,83.375,8.495833333,19.68666667,25,15.15,9.85
2023-01-05,1.29875,30.55833333,25.95833333,95.66666667,6.083333333,19.43666667,25.33,13.13,12.2
2023-01-06,1.348333333,23.56666667,20.79166667,96.25,5.1625,19.21875,25.02,15.05,9.97
2023-01-07,1.45375,27.1375,18.83333333,96.875,4.516666667,20.1,27.43,13.76,13.67
2023-01-08,1.167083333,15.65,20.20833333,55.75,3.308333333,19.085,23.96,14.7,9.26
2023-01-09,1.20125,18.92083333,20.75,57.45833333,4.8625,18.55458333,22.29,15.48,6.81
2023-01-10,1.485416667,32.42916667,27.91666667,92.79166667,4.025,20.65291667,27.63,14.2,13.43
2023-01-11,1.5925,38.225,23.375,82.08333333,3.658333333,22.83166667,30.4,16.26,14.14
2023-01-12,1.2975,23.9125,22.375,95.5,3.95,19.88083333,23.28,15.37,7.91
2023-01-13,1.297083333,16.89166667,30.95833333,53.04166667,5.375,14.52458333,18.29,11.65,6.64
2023-01-14,1.51375,24.4875,25.16666667,69.70833333,4.641666667,14.51791667,20.11,8.37,11.74
2023-01-15,1.814166667,33.25416667,18.79166667,86.125,5.2375,17.16583333,26.09,9.37,16.72
2023-01-16,1.662916667,27.51666667,21.41666667,106.7083333,4.141666667,22.86833333,32.01,14.35,17.66
2023-01-17,1.8,36.875,20.75,102.875,6.829166667,21.75,28.18,16.26,11.92
2023-01-18,1.676666667,27.625,19.875,120.875,4.904166667,21.74166667,26.22,17.42,8.8
2023-01-19,1.370833333,16.0125,26.08333333,65,4.066666667,17.70375,20.53,16.49,4.04
2023-01-20,1.592916667,25.10833333,23.125,86.16666667,8.179166667,16.9825,20.96,13.53,7.43
2023-01-21,1.64125,22.49166667,26.25,88.79166667,6.841666667,18.32041667,23.62,13.64,9.98
2023-01-22,1.392916667,13.90416667,33.375,54.58333333,5.975,17.86625,21.64,14.97,6.67
2023-01-23,1.513333333,19.725,19.20833333,44.375,5.616666667,12.01625,16.12,10.71,5.41
2023-01-24,1.57,18.69583333,15.79166667,68.04166667,4.291666667,17.13791667,23.67,13.33,10.34
2023-01-25,1.407083333,20.4875,25.125,59.375,5.0875,13.99583333,19.09,8.85,10.24
2023-01-26,1.390416667,15.87916667,27,44.66666667,4.158333333,10.20958333,12.86,8.1,4.76
2023-01-27,1.64625,23.92083333,15.91666667,64.125,4.3875,9.614583333,12.94,6.74,6.2
2023-01-28,2.24375,48.9875,14.33333333,129.9166667,5.85,14.13791667,21.3,8.16,13.14
2023-01-29,2.067083333,37.25,38.625,118.7916667,10.48333333,21.00333333,28.14,14.6,13.54
2023-01-30,1.811666667,25.74583333,14.75,76.625,7.5875,20.71666667,25.33,14.42,10.91
2023-01-31,1.605416667,12.45833333,10.25,39.54166667,3.25,8.325833333,13.23,4.95,8.28
2023-02-01,1.62125,17.225,9.125,56.375,3.141666667,5.7,23.96,3.33,20.63
2023-02-02,1.825,22.40416667,11.04166667,69.41666667,3.870833333,8.405833333,16.4,4.53,11.87
2023-02-03,1.669583333,18.52916667,22.5,52.08333333,3.783333333,11.96708333,18.02,6.29,11.73
2023-02-04,1.632916667,22.1,20.45833333,53.66666667,4.383333333,12.47375,18.58,6.58,12
2023-02-05,1.774166667,28.41666667,27.125,69,8.108333333,17.62375,25.63,10.73,14.9
2023-02-06,1.83375,25.4875,21.25,75.70833333,6.583333333,18.98916667,27.41,11.67,15.74
2023-02-07,1.994166667,28.86666667,21.41666667,90.08333333,9.041666667,20.39958333,27.68,13.67,14.01
2023-02-08,1.65375,17.04166667,20.04166667,69.70833333,4.904166667,18.38916667,20.95,15.15,5.8
2023-02-09,1.5825,11.95833333,27.45833333,51.25,3.5875,18.10708333,21.98,14.84,7.14
2023-02-10,1.564166667,15.64583333,23,76.83333333,3.4,14.055,17.37,10.59,6.78
2023-02-11,1.54125,20.78333333,28.54166667,56.04166667,5.945833333,12.08666667,23.96,7.34,16.62
2023-02-12,1.598333333,16.52916667,30.16666667,46.95833333,4.970833333,14.44833333,20.51,9.99,10.52
2023-02-13,1.98125,28.0875,21.70833333,78.83333333,5.725,16.94333333,23.18,10.49,12.69
2023-02-14,1.81375,19.73333333,22.41666667,73.08333333,5.145833333,22.06708333,31.12,13.41,17.71
2023-02-15,1.887083333,30.275,27.16666667,86.45833333,6.704166667,24.635,32.48,17.63,14.85
2023-02-16,1.646666667,22.99583333,23.70833333,123.8333333,4.529166667,18.23,22.91,13.39,9.52
2023-02-17,1.487083333,10.74583333,30.70833333,47.04166667,3.879166667,10.83875,14.02,8.06,5.96
2023-02-18,1.45875,14.7375,29.95833333,43.45833333,3.991666667,11.40833333,23.96,6.77,17.19
2023-02-19,1.432916667,25.96666667,27.83333333,73.04166667,9.516666667,16.3475,24.22,9.23,14.99
2023-02-20,1.732083333,27.18333333,30.125,83.125,5.5875,21.15875,27.87,14.36,13.51
2023-02-21,1.912083333,30.37083333,34.25,92.875,5.695833333,23.47416667,30.09,16.5,13.59
2023-02-22,1.612916667,20.9,26.75,95.79166667,3.7875,26.76708333,34.42,18.02,16.4
2023-02-23,1.58125,26.55833333,22.41666667,90.79166667,6.229166667,27.27416667,32.87,22.01,10.86
2023-02-24,1.884583333,23.30416667,24.75,85.29166667,5.025,24.3825,28.7,20.22,8.48
2023-02-25,1.637083333,9.441666667,18.25,58.125,3.366666667,22.69791667,28.28,18.38,9.9
2023-02-26,1.73875,9.8125,20.66666667,56.29166667,3.133333333,23.02708333,28.12,19.36,8.76
2023-02-27,1.854583333,19.47916667,22.625,95.79166667,4.3375,25.92916667,32.03,20.2,11.83
2023-02-28,1.83875,22.39166667,35.66666667,94.91666667,5.9125,27.22375,33.45,20.53,12.92
2023-03-01,2.052916667,26.8625,32.75,95.95833333,4.079166667,28.83833333,36.92,20.81,16.11
2023-03-02,1.975833333,28.45833333,20.95833333,86.66666667,4.0875,29.66833333,35.5,24.87,10.63
2023-03-03,1.655416667,16.13333333,37.95833333,162.0416667,4.4625,21.77833333,26.11,16.47,9.64
2023-03-04,1.887916667,23.98333333,33.16666667,108.2083333,6.591666667,21.48541667,27.55,14.05,13.5
2023-03-05,1.9175,15.62083333,35.83333333,67.125,4.454166667,20.80875,28,14.44,13.56
2023-03-06,2.061666667,18.1875,31.70833333,93.41666667,4.758333333,23.93083333,29.74,18.67,11.07
2023-03-07,2.0525,16.27916667,25.66666667,91.45833333,3.525,24.66333333,30.37,20.69,9.68
2023-03-08,2.027916667,17.85416667,17.58333333,79.08333333,3.6375,22.81958333,28.31,18.89,9.42
2023-03-09,1.616041667,12.98125,19.04166667,63.4375,3.1375,21.69208333,27.11,10.99,16.12
2023-03-10,1.81,15.02083333,20.125,67.95833333,4.075,23.48083333,27.48,19.49,7.99
2023-03-11,1.95375,20.48333333,27.83333333,80.58333333,3.733333333,25.45333333,31.72,19.24,12.48
2023-03-12,1.712916667,17.50833333,24.91666667,70.79166667,3.908333333,26.50041667,33.78,5.94,27.84
