day,CO_mean,NO2_mean,O3_mean,PM10_mean,SO2_mean,TOUT_mean,TOUT_max,TOUT_min,TOUT_range
2023-01-01,1.29625,19.875,28.58333333,64.33333333,6.383333333,22.42375,31.26,13.65,17.61
2023-01-02,1.455833333,28.4625,15.04166667,70.70833333,4.770833333,22.42666667,29.39,16.1,13.29
2023-01-03,1.070833333,21.925,19.58333333,65.45833333,4.091666667,21.97916667,27.8,18.16,9.64
2023-01-04,1.112916667,23.08333333,25.20833333,57.125,6.295833333,19.85458333,25.83,13.17,12.66
2023-01-05,1.155833333,25.325,26.16666667,81.33333333,5.25,20.30791667,26.24,13.06,13.18
2023-01-06,1.224166667,18.82916667,19.75,70.16666667,3.1125,19.87791667,25.33,15.04,10.29
2023-01-07,1.342083333,21.88333333,19.29166667,79.08333333,3.758333333,20.82583333,27.99,15.28,12.71
2023-01-08,1.02625,12.2125,22.91666667,42.58333333,3.65,20.02583333,22.46,18.73,3.73
2023-01-09,1.175833333,14.52083333,20.45833333,41.58333333,3.541666667,19.15458333,22.32,16.47,5.85
2023-01-10,1.59625,32.27083333,19.375,79.58333333,4.083333333,20.51833333,28.46,13.84,14.62
2023-01-11,1.5725,36.36666667,18.58333333,73.33333333,4.675,22.59625,30.86,14.94,15.92
2023-01-12,0.99,18.3125,23.875,85.16666667,3.670833333,20.61791667,24.56,16.06,8.5
2023-01-13,0.9425,15.12916667,31.45833333,31.375,5.083333333,15.22541667,19.17,12.26,6.91
2023-01-14,1.202083333,23.3875,18.33333333,51.04166667,4.070833333,14.61375,20.56,8.09,12.47
2023-01-15,1.490833333,30.0625,20.33333333,78.58333333,4.870833333,17.35083333,26.2,9.68,16.52
2023-01-16,1.327916667,26.74583333,19.33333333,85.95833333,4.720833333,23.57333333,33.88,15.26,18.62
2023-01-17,1.454166667,30.01666667,22.79166667,84.45833333,6.4125,22.1875,28.26,15.98,12.28
2023-01-18,1.350833333,21.79166667,19.29166667,86.79166667,4.558333333,22.60208333,27.83,17.56,10.27
2023-01-19,1.019583333,16.55,23.58333333,46.45833333,6.458333333,18.30458333,20.58,17.13,3.45
