day,CO_mean,NO2_mean,O3_mean,PM10_mean,SO2_mean,TOUT_mean,TOUT_max,TOUT_min,TOUT_range
2023-01-01,0.8675,12.84583333,28.375,42.70833333,3.791666667,22.24625,30.7,14.3,16.4
2023-01-02,1.084166667,23.7,17.58333333,68.29166667,5.5625,22.25208333,29.09,16.2,12.89
2023-01-03,0.945416667,23.74583333,17.33333333,82.625,5.491666667,22.03958333,27.65,18.11,9.54
2023-01-04,0.985,22.5,24.83333333,60.79166667,4.5125,19.10791667,24.99,14.09,10.9
2023-01-05,0.997916667,22.18333333,30.79166667,78.91666667,3.920833333,19.10125,25.37,12.77,12.6
2023-01-06,1.15,23.26666667,21.75,99.33333333,3.3875,18.39416667,24.73,12.59,12.14
2023-01-07,1.1625,21.59166667,21.45833333,84.25,3.520833333,19.99791667,27.07,13.58,13.49
2023-01-08,1.065416667,15.6125,17.58333333,66.29166667,3.520833333,18.77875,21.03,16.97,4.06
2023-01-09,1.069583333,18.02083333,19.5,61.375,3.479166667,18.58833333,22.27,15.49,6.78
2023-01-10,1.196666667,26.30416667,22.45833333,75.5,3.425,20.4475,28.07,14.02,14.05
2023-01-11,1.0925,26.42083333,26.54166667,62.54166667,3.491666667,22.75833333,30.73,16.2,14.53
2023-01-12,0.905,17.9125,24.25,85.66666667,3.329166667,19.83125,23.26,15.5,7.76
2023-01-13,0.916666667,16.70416667,29.04166667,42.83333333,3.483333333,14.46708333,18.49,11.63,6.86
2023-01-14,1.064583333,24.9125,20.375,63.70833333,3.579166667,13.85125,20.11,7.57,12.54
2023-01-15,1.1575,24.1875,25.95833333,75.04166667,3.616666667,17.33291667,26.14,9.3,16.84
2023-01-16,1.099583333,23.7875,19.20833333,126.5,3.775,22.96083333,33.72,14.51,19.21
2023-01-17,1.291666667,28.39583333,24.08333333,83.91666667,6.091666667,21.41833333,28.45,15.3,13.15
2023-01-18,1.33875,25.11666667,19.45833333,129.2916667,4.579166667,21.53458333,26.21,17.38,8.83
2023-01-19,1.065416667,14.80833333,24.20833333,60.75,4.233333333,17.39083333,19.32,15.7,3.62
2023-01-20,1.291666667,27.19583333,19.25,81.41666667,8.470833333,16.56208333,20.87,11.52,9.35
2023-01-21,1.30375,21.80416667,24.75,90.25,6.304166667,18.00666667,23.69,12.56,11.13
2023-01-22,1.118333333,13.44166667,30.04166667,53.41666667,5.379166667,17.53208333,21.6,14.37,7.23
2023-01-23,1.177916667,20.30833333,16.5,48.625,5.920833333,12.14583333,16.3,10.89,5.41
2023-01-24,1.287916667,18.11666667,14.33333333,81.04166667,4.8125,17.03875,23.46,13.24,10.22
2023-01-25,1.1875,20.75416667,22.16666667,55.79166667,5.104166667,13.97833333,19.03,8.49,10.54
2023-01-26,1.123333333,14.6875,26.41666667,39.79166667,3.970833333,10.09,12.67,7.93,4.74
2023-01-27,1.449166667,25.74166667,12.41666667,64.83333333,4.875,9.631666667,12.78,6.85,5.93
2023-01-28,1.957916667,45.15416667,9.333333333,127,7.670833333,14.18375,21.33,7.92,13.41
2023-01-29,1.779166667,31.1375,29.54166667,114.75,12.3125,20.66833333,27.93,13.76,14.17
2023-01-30,1.406666667,19.8125,20.41666667,69.33333333,7.1875,20.8825,25.64,15.09,10.55
2023-01-31,1.464583333,12.31666667,13.58333333,34.16666667,2.754166667,8.725833333,13.62,5.09,8.53
2023-02-01,1.435416667,16.87916667,6.5,55.33333333,2.791666667,5.897083333,24.05,3.82,20.23
2023-02-02,1.606666667,22.60416667,12.16666667,75.16666667,3.729166667,8.494583333,16.13,4.75,11.38
