day,CO_mean,NO2_mean,O3_mean,PM10_mean,SO2_mean,TOUT_mean,TOUT_max,TOUT_min,TOUT_range
2023-01-01,1.591666667,58.80416667,20.08333333,46.45833333,3.416666667,21.02333333,32.58,10.88,21.7
2023-01-02,1.64625,40.87916667,15.29166667,56.75,2.5625,21.7275,29.89,15.05,14.84
2023-01-03,1.559583333,43.1125,16.95833333,59.33333333,2.720833333,21.29458333,29.25,14.68,14.57
2023-01-04,1.542916667,49.09166667,18.70833333,48.33333333,3.016666667,19.00916667,27.2,11.81,15.39
2023-01-05,1.584583333,57.39583333,19.29166667,63.29166667,2.9,19.21458333,27.5,10.19,17.31
2023-01-06,0.812916667,18.81666667,20.54166667,89.54166667,3.070833333,19.79041667,25.36,16.07,9.29
2023-01-07,1.61375,56.50416667,13.04166667,63.91666667,2.7125,19.98333333,28.45,12.98,15.47
2023-01-08,1.466666667,35.475,14.33333333,49.66666667,2.229166667,19.40875,22.26,17.53,4.73
2023-01-09,1.396666667,30.79166667,17.625,44.5,2.4625,19.15083333,23.09,16.47,6.62
2023-01-10,1.649166667,54.64166667,16.25,59.375,2.675,19.90541667,29.85,12.14,17.71
2023-01-11,1.78125,68.75416667,19.25,57.95833333,2.704166667,21.55625,33.57,12.24,21.33
2023-01-12,1.552083333,49.39166667,15.45833333,79.66666667,2.575,19.13666667,24.54,14.16,10.38
2023-01-13,1.5525,39.28333333,22.54166667,41.25,3.570833333,14.84,20.19,11.12,9.07
2023-01-14,1.607083333,48.11666667,19.41666667,43.33333333,3.295833333,14.20708333,22.24,6.56,15.68
2023-01-15,1.720416667,57.84166667,21.20833333,58.5,3.1125,17.81083333,28.08,8.8,19.28
2023-01-16,1.75375,34.5625,18.875,75.83333333,3.108333333,23.27291667,34.03,14.95,19.08
2023-01-17,1.83,53.5625,18.66666667,84.41666667,4.583333333,21.65208333,28.9,13.63,15.27
2023-01-18,1.709166667,44.175,14.66666667,79.08333333,2.991666667,21.56666667,27.67,14.2,13.47
2023-01-19,1.517083333,31.8125,21.58333333,45.08333333,3.466666667,17.82791667,20.56,16.32,4.24
2023-01-20,1.672083333,50.26666667,18.375,62.70833333,3.420833333,17.52958333,21.99,14.03,7.96
2023-01-21,1.57625,31.05833333,22.04166667,61.91666667,3.041666667,19.14916667,25.12,13.25,11.87
2023-01-22,1.522083333,26.68333333,25.95833333,39.33333333,3.0625,18.5,23.14,15.63,7.51
2023-01-23,1.451666667,28.80833333,20.45833333,33.125,2.216666667,13.21416667,15.61,11.58,4.03
2023-01-24,1.570416667,40.60833333,11.66666667,57.29166667,2.25,17.87875,24.99,13.05,11.94
2023-01-25,1.502083333,31.0875,24.33333333,38.79166667,2.725,14.69958333,21,8.2,12.8
2023-01-26,1.489166667,32.54583333,23.66666667,37.95833333,2.2,10.32166667,11.76,7.22,4.54
2023-01-27,1.562916667,45.38333333,15.875,54.70833333,2.0625,10.11208333,13.6,7.47,6.13
2023-01-28,2.0775,77.3,10.66666667,105.5,3.25,14.92083333,22.91,7.44,15.47
2023-01-29,1.9275,46.25,24.75,83.16666667,3.758333333,21.60791667,28.87,14.39,14.48
2023-01-30,1.642083333,49.55416667,15.54166667,50.04166667,3.008333333,20.81708333,28.06,15.26,12.8
2023-01-31,1.465833333,42.85416667,13.45833333,21.58333333,2.283333333,9.6075,24.57,5.36,19.21
2023-02-01,1.501666667,48.50416667,8.083333333,33.29166667,2.5375,5.548333333,8.22,3.89,4.33
2023-02-02,1.584166667,46.3375,11.66666667,56.04166667,3.308333333,9.662083333,24.57,4.98,19.59
2023-02-03,1.51625,34.9,19.25,43.375,2.854166667,14.38166667,24.57,5.52,19.05
2023-02-04,1.533333333,50.09583333,17.79166667,33.45833333,2.575,12.96208333,19.65,6.08,13.57
2023-02-05,1.6675,58.35,21.45833333,46.79166667,3.7,17.30958333,27.81,8.08,19.73
2023-02-06,1.64,51.975,18.75,53.04166667,3.183333333,19.58,28.6,11.49,17.11
2023-02-07,1.786666667,50.18333333,16.25,70.125,4.054166667,21.49083333,30.12,13.69,16.43
2023-02-08,1.49875,31.68333333,15.20833333,60.20833333,3.075,18.6825,22.19,15.65,6.54
2023-02-09,1.48125,21.57916667,21.70833333,43.875,3,18.56208333,23.41,14.97,8.44
2023-02-10,1.459583333,29.4625,20.41666667,58.97916667,2.691666667,14.01875,17.27,10.55,6.72
2023-02-11,1.575833333,46.925,23.95833333,55.29166667,3.1,12.23166667,24.57,4.59,19.98
2023-02-12,1.642916667,33.98333333,25.16666667,39,3.3375,15.07375,21.87,10.29,11.58
2023-02-13,1.84375,57.9625,17.41666667,64.125,4.008333333,17.85375,25.06,10.62,14.44
